system_id,parameter,value,sd,disp,n,units,source_key,source_note,tier
prosopis,C_inv,52.05,6.00,sd,10,Mg C ha-1,mbaabu2020restoration,"SOC 0-100 cm under high-density Prosopis 40.05 (SE 1.28, n=10) plus indicative woody aboveground carbon 12.0; dispersion combines the SOC standard deviation recovered as SE*sqrt(n) with the aboveground uncertainty",C
prosopis,C_nat,50.76,7.30,sd,10,Mg C ha-1,mbaabu2020restoration,"SOC 0-100 cm pristine grassland 49.76 (SE 2.28, n=10) plus 1.0 grass biomass carbon; SD recovered as SE*sqrt(n)",C
prosopis,AGB_inv,12.00,5.00,sd,,Mg C ha-1,mbaabu2020restoration,"not tabulated in the source; the paper states plant biomass carbon under Prosopis is lower than the 0-30 cm SOC pool, which bounds it below roughly 20 Mg C ha-1. Indicative, and the parity result for this system is sensitive to it",D
prosopis,r_nat,0.0426,0.0100,sd,15,yr-1,mbaabu2020restoration,"derived from the restoration chronosequence: degraded 31.52 to restored 44.68 over 30 years toward a pristine asymptote of 49.76, giving r = -ln((49.76-44.68)/(49.76-31.52))/30. Consistent with the paper's stated 1.4 percent annual SOC increase",C
prosopis,f_rel,0.85,0.10,sd,,dimensionless,heimpel2013environmental,"fraction of cleared aboveground carbon released within one year; no measured value exists for this system",D
prosopis,dSOC,0.00,1.00,sd,,Mg C ha-1,mbaabu2020restoration,"no soil carbon loss attributable to the clearing operation is reported; taken as zero with uncertainty",D
prosopis,E_op,0.05,0.02,sd,,Mg C ha-1,heimpel2013environmental,"operational emissions of clearing, scaled from the reported herbicide life-cycle emission of about 10.6 kg CO2e per hectare per application",D
cheatgrass,C_inv,2.51,0.30,sd,,Mg C ha-1,nagy2021synthesis,"biomass and litter only. Derived as the native state less the reported net reduction of 76 g C m-2 in biomass and litter under cheatgrass",C
cheatgrass,C_nat,3.27,0.66,sd,,Mg C ha-1,nagy2021synthesis,"biomass only: native sagebrush aboveground 89 g C m-2 plus belowground 238 g C m-2. Error term as reported by the synthesis, which does not state whether it is a standard deviation or a standard error",A
cheatgrass,AGB_inv,0.40,0.04,sd,,Mg C ha-1,nagy2021synthesis,"cheatgrass aboveground biomass carbon 40 g C m-2, 55 percent lower than native sagebrush",A
cheatgrass,r_nat,0.0200,0.0100,sd,,yr-1,nagy2021synthesis,"sagebrush steppe recovery after annual grass control is slow and is not reported as a carbon trajectory anywhere; indicative and the dominant uncertainty in this system",D
cheatgrass,f_rel,0.90,0.10,sd,,dimensionless,heimpel2013environmental,"annual grass biomass is almost entirely released within one year",D
cheatgrass,dSOC,0.00,1.00,sd,,Mg C ha-1,maxwell2022effects,"soil carbon is outside this system's accounting boundary; the invasion-driven soil loss reported elsewhere is a property of invasion rather than of the removal operation",D
cheatgrass,E_op,0.02,0.01,sd,,Mg C ha-1,heimpel2013environmental,"operational emissions of herbicide application",D
phragmites,C_inv,157.00,25.00,sd,,Mg C ha-1,gu2020invasive,"derived by applying the reported 37 to 77 percent soil carbon excess under invasive Phragmites relative to native Spartina patens, midpoint 57 percent, to the nominal native stock below. Absolute stocks were not extractable from the source",D
phragmites,C_nat,100.00,20.00,sd,,Mg C ha-1,kahara2026beyond,"nominal soil carbon stock for a northeastern United States tidal marsh. Not read from the source, which reports concentrations rather than areal stocks. Indicative only, and used because the sign of the difference, not its magnitude, drives the result for this system",D
phragmites,AGB_inv,5.00,1.50,sd,,Mg C ha-1,gu2020invasive,"standing aboveground carbon of a Phragmites stand; indicative",D
phragmites,r_nat,0.0300,0.0120,sd,,yr-1,martin2017effects,"native marsh vegetation recovery after Phragmites control; no carbon trajectory is reported",D
phragmites,f_rel,0.90,0.10,sd,,dimensionless,martin2017effects,"indicative",D
phragmites,dSOC,5.00,3.00,sd,,Mg C ha-1,martin2017effects,"soil carbon disturbance loss following control. Note that the frequently quoted losses of 1273, 389 and 207 g C m-2 are NOT Phragmites figures: they come from an experimental wetland loss study on native marsh in coastal Louisiana and are not used here",D
phragmites,E_op,0.02,0.01,sd,,Mg C ha-1,heimpel2013environmental,"operational emissions of herbicide application",D
lantana,C_inv,142.40,8.00,sd,30,Mg C ha-1,lone2025invasive,"total ecosystem carbon of invaded sites: tree juveniles 3.7, adult trees 55.5, understorey 2.0, detritus 8.0, SOC 0-50 cm 73.1. 30 plots of 2500 m2",A
lantana,C_nat,153.70,8.00,sd,30,Mg C ha-1,lone2025invasive,"total ecosystem carbon of uninvaded sites: tree juveniles 5.9, adult trees 76.1, understorey 0.21, detritus 6.27, SOC 0-50 cm 65.3. 30 plots of 2500 m2",A
lantana,AGB_inv,1.87,0.13,sd,30,Mg C ha-1,lone2025invasive,"shrub carbon stock of invaded sites 1.87 (SE 0.13) against 0.008 (SE 0.004) in uninvaded sites, predominantly Lantana camara biomass",A
lantana,r_nat,0.0300,0.0150,sd,,yr-1,ahmad2026turning,"no post-removal carbon time series exists for this system; the source paper is a one-time survey and its authors call for the monitoring that would supply this parameter",D
lantana,f_rel,0.90,0.10,sd,,dimensionless,heimpel2013environmental,"cut Lantana biomass is typically burned or left to decompose in situ",D
lantana,dSOC,0.00,1.00,sd,,Mg C ha-1,lone2025invasive,"no measured soil carbon loss attributable to clearing",D
lantana,E_op,0.02,0.01,sd,,Mg C ha-1,heimpel2013environmental,"operational emissions of manual and chemical control",D
acacia,C_inv,58.48,6.00,sd,,Mg C ha-1,matos2023invasive,"invaded second-growth Atlantic Forest: acacia 53.34 plus native species 5.14, the acacias representing 91 percent of the total stock",B
acacia,C_nat,150.00,30.00,sd,,Mg C ha-1,matos2023invasive,"mature Atlantic Forest asymptote toward which uninvaded second growth recovers. Not reported in the source, which measures young second growth only",D
acacia,AGB_inv,53.34,6.00,sd,,Mg C ha-1,matos2023invasive,"acacia carbon stock in invaded young second growth",B
acacia,r_nat,0.0200,0.0080,sd,,yr-1,matos2023invasive,"recovery of uninvaded second growth, whose carbon accumulation the source reports as roughly threefold lower than invaded stands",D
acacia,f_rel,0.85,0.10,sd,,dimensionless,heimpel2013environmental,"indicative; the biochar and timber routes discussed in the text would reduce this substantially",D
acacia,dSOC,0.00,1.50,sd,,Mg C ha-1,matos2023invasive,"no measured soil carbon loss attributable to clearing",D
acacia,E_op,0.05,0.02,sd,,Mg C ha-1,heimpel2013environmental,"operational emissions of mechanical clearing",D
melaleuca,C_inv,130.00,30.00,sd,,Mg C ha-1,adame2020carbon,"indicative Melaleuca stand carbon; no paired invaded and uninvaded stock comparison exists for the Everglades",D
melaleuca,C_nat,90.00,25.00,sd,,Mg C ha-1,adame2020carbon,"indicative native sawgrass and wet prairie reference; not measured against Melaleuca in the source, which reports native-range Australian floodplain wetlands",D
melaleuca,AGB_inv,60.00,20.00,sd,,Mg C ha-1,adame2020carbon,"indicative standing carbon of a dense Melaleuca stand",D
melaleuca,r_nat,0.0300,0.0150,sd,,yr-1,adame2020carbon,"no post-clearance carbon trajectory exists; the removal literature for this system is dominated by biological control effectiveness",D
melaleuca,f_rel,0.85,0.10,sd,,dimensionless,heimpel2013environmental,"indicative",D
melaleuca,dSOC,0.00,2.00,sd,,Mg C ha-1,adame2020carbon,"not measured",D
melaleuca,E_op,0.05,0.02,sd,,Mg C ha-1,heimpel2013environmental,"operational emissions of mechanical and chemical control",D
hyacinth,C_inv,8.00,3.00,sd,,Mg C ha-1,wei2017invasion,"indicative standing carbon of a water hyacinth mat. Floating biomass is turned over annually rather than stored, so a stock-based parity framing is weak for this system and it is reported as a boundary case",D
hyacinth,C_nat,6.00,2.50,sd,,Mg C ha-1,wei2017invasion,"indicative open-water reference",D
hyacinth,AGB_inv,4.00,1.50,sd,,Mg C ha-1,wei2017invasion,"indicative floating biomass carbon",D
hyacinth,r_nat,0.1000,0.0400,sd,,yr-1,wei2017invasion,"indicative; aquatic systems re-equilibrate rapidly",D
hyacinth,f_rel,0.95,0.05,sd,,dimensionless,heimpel2013environmental,"harvested floating biomass decomposes rapidly unless converted to a durable product",D
hyacinth,dSOC,0.00,1.00,sd,,Mg C ha-1,wei2017invasion,"not applicable",D
hyacinth,E_op,0.01,0.005,sd,,Mg C ha-1,heimpel2013environmental,"operational emissions of mechanical harvesting",D
