"study","title","latitude","longitude","methods","habitat","native_species","native_family","native_growth_cycle","invasive_species","invasive_family","invasive_growth_cycle","invasion_phase","MAT","MAP","fraction","source","index","units","depth","M_native","SD_native","N_native","M_invasive","SD_invasive","N_invasive","lnRR","depth_raw","depth_bot","depth_mid","habitat_class","growth_cycle","basis","sd_imputed","yi","vi","obs"
"R3","An aboveground–belowground assessment of ecosystem properties associated with exotic annual brome invasion","44.010041000000001","-107.57183999999999","field","n/a","B.tectorumL.","Poaceae","annual","BromusjaponicusThunb.","Poaceae","annual","invasive",NA,35,"TC","T1","TC","kg/ha","0-5",123.31,10.33,6,135.49,11.72,6,"9.4196329999999995E-2","0-5",5,2.5,NA,"annual","concentration",FALSE,0.0942350392579346,0.00241670771530753,1
"R10","Effects of Canada Goldenrod Invasion on Soil Extracellular Enzyme Activities and Ecoenzymatic Stoichiometry","32.14","119.29","field","grassland","P.australis","Poaceae","perennial","P.australis","compositae","perennial","invasive",17.7,1272.1,"TC","T1","STC(soil total C)","mg C g−1 soil","0-15",10.82,0.52,4,13.17,1.09,4,"0.19654524000000001","0-15",15,7.5,"grassland","perennial","concentration",FALSE,0.197112764111235,0.00228988448479766,2
"R11","Effects of invasive scotch broom on soil properties in a Pacific coastal prairie soil","39.2809","123.23390000000001","field","terrace","n/a","n/a","n/a","CytisusscopariusLink","Fabaceae","annual","invasive",NA,NA,"TC","T1","TC","g/kg","n/a",59.9,0.93,4,73.4,0.57,4,"0.20324743000000001","n/a",NA,NA,"grassland","annual","concentration",FALSE,0.203224837093193,7.53396081898442e-05,3
"R12","Effects of Invasive Spartina alterniﬂora Loisel. and Subsequent Ecological Replacement bySonneratia apetala Buch.-Ham. on Soil OrganicCarbon Fractions and Stock","22.26","113.38","field","n/a","KandeliaobovataSheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",22.4,NA,"TC","F2","TC","g/kg","0-10",60.0343053173241,1.1418,3,15.9691252144082,1.981,3,"-1.3241324800000001","0-10",10,5,NA,"perennial","concentration",FALSE,-1.32175444658144,0.00525019866661753,4
"R12","Effects of Invasive Spartina alterniﬂora Loisel. and Subsequent Ecological Replacement bySonneratia apetala Buch.-Ham. on Soil OrganicCarbon Fractions and Stock","22.26","113.38","field","n/a","KandeliaobovataSheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",22.4,NA,"TC","F2","TC","g/kg","10-20",63.5162950257289,1.7809,3,16.6895368782161,1.3403,3,"-1.3365450800000001","10-20",20,15,NA,"perennial","concentration",FALSE,-1.3355706342603,0.002411832958638,5
"R12","Effects of Invasive Spartina alterniﬂora Loisel. and Subsequent Ecological Replacement bySonneratia apetala Buch.-Ham. on Soil OrganicCarbon Fractions and Stock","22.26","113.38","field","n/a","KandeliaobovataSheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",22.4,NA,"TC","F2","TC","g/kg","20-30",19.090909090909,1.4822,3,25.6946826758147,3.001,3,"0.29693716999999997","20-30",30,25,NA,"perennial","concentration",FALSE,0.298340671999936,0.00655626620675507,6
"R12","Effects of Invasive Spartina alterniﬂora Loisel. and Subsequent Ecological Replacement bySonneratia apetala Buch.-Ham. on Soil OrganicCarbon Fractions and Stock","22.26","113.38","field","n/a","KandeliaobovataSheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",22.4,NA,"TC","F2","TC","g/kg","30-50",20.7718696397941,2.0388,3,18.2504288164665,2.0718,3,"-0.12934456","30-50",50,40,NA,"perennial","concentration",FALSE,-0.128868886765387,0.00750691371674818,7
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"TC","T2","TC","g/kg","0-60",50.98,8.60894750120656,5,52.31,8.64517258133921,5,"2.5754160000000002E-2","0-60",60,30,"forest","annual","concentration",TRUE,0.0256338340170255,0.0111660624143451,8
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"TC","T2","TC","g/kg","0-60",40.37,6.81724618720496,5,54.18,8.95422386650656,5,"0.29422490000000001","0-60",60,30,"forest","annual","concentration",TRUE,0.294104577374575,0.0111660624143451,9
"R24","Loss of faster-cycling soil carbon pools following grass invasion across multiple forest sites","33.20-33.89","83.37-83.60","field","forest","Quercussp.","Fagaceae","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"TC","F1","TC","g C m-2","0-10",299.074074074074,19.4444,8,276.851851851851,12.037,8,"-7.7201820000000004E-2","0-10",10,5,"forest","annual","concentration",FALSE,-0.0773547901922721,0.00076466760441796,10
"R24","Loss of faster-cycling soil carbon pools following grass invasion across multiple forest sites","33.20-33.89","83.37-83.60","field","forest","CaryacathayensisSarg.","JuglandaceaeDC.exPerleb","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"TC","F1","TC","g C m-2","0-10",297.222222222222,17.5926,8,258.333333333333,17.5926,8,"-0.14023477000000001","0-10",10,5,"forest","annual","concentration",FALSE,-0.140158453809614,0.00101764068260806,11
"R33","The effect of plant invasion on soil microbial carbon-use efficiency in semiarid grasslands of the Rocky Mountain West","46.5145","114.0042","field","n/a","Pseudoroegneriaspicata(Pursh)ÁLöve","Poaceae","n/a","Bromustectorum L.","Poaceae","annual","invasive",NA,NA,"TC","T1","TC","g/kg","0-10",27.39,5.9,5,18.62,3.83,5,"-0.38594170999999999","0-10",10,5,NA,"annual","concentration",FALSE,-0.386350779622838,0.0177419481478805,12
"R33","The effect of plant invasion on soil microbial carbon-­use efficiency in semi-­arid grasslands of the Rocky Mountain West","46.4048","114.0140","field","n/a","Elymuselymoides(Raf.)Swezey","Poaceae","n/a","Euphorbiaesula L.","EuphorbiaceaeJuss.","perennial","invasive",7.7,350,"TC","T1","TC","g/kg","0-10",27.39,5.9,5,28.02,2.47,5,"2.274056E-2","0-10",10,5,NA,"perennial","concentration",FALSE,0.0188776020288493,0.0108341733313753,13
"R33","The effect of plant invasion on soil microbial carbon-use efficiency in semiarid grasslands of the Rocky Mountain West","46.5145","114.0042","field","n/a","Koelariamacrantha(Ledeb.)Schult.","Poaceae","n/a","CentaureastoebeL.","AsteraceaeBercht.&J.Presl","annual","invasive",7.7,350,"TC","T1","TC","g/kg","0-10",35.08,4.73,5,43.53,11.61,5,"0.21581918999999999","0-10",10,5,NA,"annual","concentration",FALSE,0.221114711148255,0.0178632007821174,14
"R33","The effect of plant invasion on soil microbial carbon-use efficiency in semiarid grasslands of the Rocky Mountain West","46.4048","114.0140","field","n/a","Boutelouagracilis(Willd.ExKunth)Lag.ExGriffiths","Poaceae","n/a","PotentillarectaLinn.","Rosaceae","perennial","invasive",7.7,350,"TC","T1","TC","g/kg","0-10",25.76,3.54,5,28.82,4.24,5,"0.11224669","0-10",10,5,NA,"perennial","concentration",FALSE,0.11252262989913,0.00810584316631596,15
"R34","The invasive plant Mikania micrantha affects the soil foodweb and plant-soil nutrient contents in orchards","22.35","114.29","field","orchard","Pistaciachinensis Bunge","AcardiaceaeR.Br.","n/a","Mikaniamicrantha KunthinHumb.&al.","AsteraceaeBercht.&J.Presl","perennial","invasive",NA,NA,"TC","T1","TC","g/kg","5-10",19.49,1.62,5,13.2,1.1,5,"-0.38968468000000001","5-10",10,7.5,"forest","perennial","concentration",FALSE,-0.389681125416758,0.0027706607570056,16
"R34","The invasive plant Mikania micrantha affects the soil foodweb and plant-soil nutrient contents in orchards","22.52","114.22","field","n/a","Pistaciachinensis Bunge","AcardiaceaeR.Br.","n/a","Mikaniamicrantha KunthinHumb.&al.","AsteraceaeBercht.&J.Presl","perennial","invasive",NA,NA,"TC","T1","TC","g/kg","5-10",26.59,5.52,5,17.33,1.33,5,"-0.42809609999999998","5-10",10,7.5,NA,"perennial","concentration",FALSE,-0.431816758756725,0.00979726488497126,17
"R34","The invasive plant Mikania micrantha affects the soil foodweb and plant-soil nutrient contents in orchards","23.26","113.28","field","n/a","Pistaciachinensis Bunge","AcardiaceaeR.Br.","n/a","Mikaniamicrantha KunthinHumb.&al.","AsteraceaeBercht.&J.Presl","perennial","invasive",NA,NA,"TC","T1","TC","g/kg","5-10",30.79,3.56,5,20.35,2.24,5,"-0.41410904999999998","5-10",10,7.5,NA,"perennial","concentration",FALSE,-0.414234271534836,0.00509693163381914,18
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"TC","T2","TC","g/kg","0-10",43.2,1.65,3,59.56,1.53,3,"0.32114371000000003","0-10",10,5,NA,"perennial","concentration",FALSE,0.321010558791714,0.000706236176221107,19
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"TC","T2","TC","g/kg","10-20",36.94,1.77,3,40.8,10.9,3,"9.9387110000000001E-2","10-20",20,15,NA,"perennial","concentration",FALSE,0.110899921715988,0.0245562293872697,20
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"TC","T2","TC","g/kg","20-30",33.91,1.96,3,37.62,1.18,3,"0.10382587","20-30",30,25,NA,"perennial","concentration",FALSE,0.103433034004358,0.00144156375007648,21
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"TC","T2","TC","g/kg","30-40",30.9,1.6,3,37.28,1.42,3,"0.18770081","30-40",40,35,NA,"perennial","concentration",FALSE,0.187495755282276,0.00137733986856395,22
