"study","title","latitude","longitude","methods","habitat","native_species","native_family","native_growth_cycle","invasive_species","invasive_family","invasive_growth_cycle","invasion_phase","MAT","MAP","fraction","source","index","units","depth","M_native","SD_native","N_native","M_invasive","SD_invasive","N_invasive","lnRR","depth_raw"
"R3","An aboveground–belowground assessment of ecosystem properties associated with exotic annual brome invasion","44.010041000000001","-107.57183999999999","field","n/a","B.tectorumL.","Poaceae","annual","BromusjaponicusThunb.","Poaceae","annual","invasive",NA,35,"TC","T1","TC","kg/ha","0-5",123.31,10.33,6,135.49,11.72,6,0.09419633,"0-5"
"R10","Effects of Canada Goldenrod Invasion on Soil Extracellular Enzyme Activities and Ecoenzymatic Stoichiometry","32.14","119.29","field","grassland","P.australis","Poaceae","perennial","P.australis","compositae","perennial","invasive",17.7,1272.1,"TC","T1","STC(soil total C)","mg C g−1 soil","0-15",10.82,0.52,4,13.17,1.09,4,0.19654524,"0-15"
"R11","Effects of invasive scotch broom on soil properties in a Pacific coastal prairie soil","39.2809","123.23390000000001","field","terrace","n/a","n/a","n/a","CytisusscopariusLink","Fabaceae","annual","invasive",NA,NA,"TC","T1","TC","g/kg","n/a",59.9,0.93,4,73.4,0.57,4,0.20324743,"n/a"
"R12","Effects of Invasive Spartina alterniﬂora Loisel. and Subsequent Ecological Replacement bySonneratia apetala Buch.-Ham. on Soil OrganicCarbon Fractions and Stock","22.26","113.38","field","n/a","KandeliaobovataSheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",22.4,NA,"TC","F2","TC","g/kg","0-10",60.0343053173241,1.1418,3,15.9691252144082,1.981,3,-1.32413248,"0-10"
"R12","Effects of Invasive Spartina alterniﬂora Loisel. and Subsequent Ecological Replacement bySonneratia apetala Buch.-Ham. on Soil OrganicCarbon Fractions and Stock","22.26","113.38","field","n/a","KandeliaobovataSheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",22.4,NA,"TC","F2","TC","g/kg","10-20",63.5162950257289,1.7809,3,16.6895368782161,1.3403,3,-1.33654508,"10-20"
"R12","Effects of Invasive Spartina alterniﬂora Loisel. and Subsequent Ecological Replacement bySonneratia apetala Buch.-Ham. on Soil OrganicCarbon Fractions and Stock","22.26","113.38","field","n/a","KandeliaobovataSheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",22.4,NA,"TC","F2","TC","g/kg","20-30",19.090909090909,1.4822,3,25.6946826758147,3.001,3,0.29693717,"20-30"
"R12","Effects of Invasive Spartina alterniﬂora Loisel. and Subsequent Ecological Replacement bySonneratia apetala Buch.-Ham. on Soil OrganicCarbon Fractions and Stock","22.26","113.38","field","n/a","KandeliaobovataSheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",22.4,NA,"TC","F2","TC","g/kg","30-50",20.7718696397941,2.0388,3,18.2504288164665,2.0718,3,-0.12934456,"30-50"
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"TC","T2","TC","g/kg","0-60",50.98,NA,5,52.31,NA,5,0.02575416,"0-60"
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"TC","T2","TC","g/kg","0-60",40.37,NA,5,54.18,NA,5,0.2942249,"0-60"
"R24","Loss of faster-cycling soil carbon pools following grass invasion across multiple forest sites","33.20-33.89","83.37-83.60","field","forest","Quercussp.","Fagaceae","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"TC","F1","TC","g C m-2","0-10",299.074074074074,19.4444,8,276.851851851851,12.037,8,-0.07720182,"0-10"
"R24","Loss of faster-cycling soil carbon pools following grass invasion across multiple forest sites","33.20-33.89","83.37-83.60","field","forest","CaryacathayensisSarg.","JuglandaceaeDC.exPerleb","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"TC","F1","TC","g C m-2","0-10",297.222222222222,17.5926,8,258.333333333333,17.5926,8,-0.14023477,"0-10"
"R33","The effect of plant invasion on soil microbial carbon-use efficiency in semiarid grasslands of the Rocky Mountain West","46.5145","114.0042","field","n/a","Pseudoroegneriaspicata(Pursh)ÁLöve","Poaceae","n/a","Bromustectorum L.","Poaceae","annual","invasive",NA,NA,"TC","T1","TC","g/kg","0-10",27.39,5.9,5,18.62,3.83,5,-0.38594171,"0-10"
"R33","The effect of plant invasion on soil microbial carbon-­use efficiency in semi-­arid grasslands of the Rocky Mountain West","46.4048","114.0140","field","n/a","Elymuselymoides(Raf.)Swezey","Poaceae","n/a","Euphorbiaesula L.","EuphorbiaceaeJuss.","perennial","invasive",7.7,350,"TC","T1","TC","g/kg","0-10",27.39,5.9,5,28.02,2.47,5,0.02274056,"0-10"
"R33","The effect of plant invasion on soil microbial carbon-use efficiency in semiarid grasslands of the Rocky Mountain West","46.5145","114.0042","field","n/a","Koelariamacrantha(Ledeb.)Schult.","Poaceae","n/a","CentaureastoebeL.","AsteraceaeBercht.&J.Presl","annual","invasive",7.7,350,"TC","T1","TC","g/kg","0-10",35.08,4.73,5,43.53,11.61,5,0.21581919,"0-10"
"R33","The effect of plant invasion on soil microbial carbon-use efficiency in semiarid grasslands of the Rocky Mountain West","46.4048","114.0140","field","n/a","Boutelouagracilis(Willd.ExKunth)Lag.ExGriffiths","Poaceae","n/a","PotentillarectaLinn.","Rosaceae","perennial","invasive",7.7,350,"TC","T1","TC","g/kg","0-10",25.76,3.54,5,28.82,4.24,5,0.11224669,"0-10"
"R34","The invasive plant Mikania micrantha affects the soil foodweb and plant-soil nutrient contents in orchards","22.35","114.29","field","orchard","Pistaciachinensis Bunge","AcardiaceaeR.Br.","n/a","Mikaniamicrantha KunthinHumb.&al.","AsteraceaeBercht.&J.Presl","perennial","invasive",NA,NA,"TC","T1","TC","g/kg","5-10",19.49,1.62,5,13.2,1.1,5,-0.38968468,"5-10"
"R34","The invasive plant Mikania micrantha affects the soil foodweb and plant-soil nutrient contents in orchards","22.52","114.22","field","n/a","Pistaciachinensis Bunge","AcardiaceaeR.Br.","n/a","Mikaniamicrantha KunthinHumb.&al.","AsteraceaeBercht.&J.Presl","perennial","invasive",NA,NA,"TC","T1","TC","g/kg","5-10",26.59,5.52,5,17.33,1.33,5,-0.4280961,"5-10"
"R34","The invasive plant Mikania micrantha affects the soil foodweb and plant-soil nutrient contents in orchards","23.26","113.28","field","n/a","Pistaciachinensis Bunge","AcardiaceaeR.Br.","n/a","Mikaniamicrantha KunthinHumb.&al.","AsteraceaeBercht.&J.Presl","perennial","invasive",NA,NA,"TC","T1","TC","g/kg","5-10",30.79,3.56,5,20.35,2.24,5,-0.41410905,"5-10"
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"TC","T2","TC","g/kg","0-10",43.2,1.65,NA,59.56,1.53,NA,0.32114371,"0-10"
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"TC","T2","TC","g/kg","10-20",36.94,1.77,NA,40.8,10.9,NA,0.09938711,"10-20"
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"TC","T2","TC","g/kg","20-30",33.91,1.96,NA,37.62,1.18,NA,0.10382587,"20-30"
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"TC","T2","TC","g/kg","30-40",30.9,1.6,NA,37.28,1.42,NA,0.18770081,"30-40"
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"TC","T2","TC","g/kg","40-50",32.38,2,NA,36.57,1.77,NA,0.12168728,"40-50"
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"TC","F2","TC","g/kg","0-15",17.9718875502007,4.22,3,10.2409638554216,2.21,3,-0.56240208,"0-15"
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"TC","F2","TC","g/kg","15-30",16.867469879518,3.51,3,9.13654618473895,1.5,3,-0.61287651,"15-30"
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"TC","F2","TC","g/kg","30-50",12.5502008032128,3.14,3,8.73493975903614,1.71,3,-0.3629553,"30-50"
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"TC","F2","TC","g/kg","50-75",10.6425702811244,2.41,3,7.2289156626506,1,3,-0.38638145,"50-75"
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"TC","F2","TC","g/kg","75-100",8.93574297188755,2.41,3,6.52610441767068,1.2,3,-0.31412865,"75-100"
"R39","Substrate availability regulates the suppressive effects of Canada goldenrod invasion on soil respiration","32.14","119.29","field","Shore","P.australis","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",17.1,1272.1,"TC","T1","STC(soil total C)","mg C g−1 soil","0-10",12.47,1.19,3,10.8,0.74,3,-0.14377963,"0-10"
"R39","Substrate availability regulates the suppressive effects of Cada goldenrod invasion on soil respiration","32.12","119.30","greenhouse","n/a","P.australis","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",17.1,1272.1,"TC","T2","STC(soil total C)","mg C g−1 soil","0-10",3.76,0.09,3,3.56,0.06,3,-0.05465841,"0-10"
"R50","Grass invasion of a hardwood forest is associated with declines in belowground carbon pools","33.5327","83.2193","field","forest","Acerrubrum,Quercusnigra,Platanusoccidentalis,andLiquidambarstyraciflua","n/a","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"TC","T2","TC","ug/g dry wt soil -1","0-10",22.21,7.83836717690617,6,17.24,8.72018348430811,6,-0.25331037,"0-10"
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"TC","F2","TC","g/kg","0-15",18.0604982206405,4.36,3,10.4092526690391,2.14,3,-0.55093267,"0-15"
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"TC","F2","TC","g/kg","15-30",17.170818505338,3.3,3,9.16370106761565,1.6,3,-0.6283175,"15-30"
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"TC","F2","TC","g/kg","30-50",13.0782918149466,3.11,3,8.98576512455516,1.51,3,-0.3749715,"30-50"
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"TC","F2","TC","g/kg","50-75",10.6761565836298,2.85,3,7.20640569395017,1.07,3,-0.39290388,"50-75"
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"TC","F2","TC","g/kg","75-100",8.98576512455516,2.58,3,6.49466192170818,1.6,3,-0.32590318,"75-100"
"R56","Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China","22.2340-22.2738","113.3640-113.3915","field","mangrove","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",22.4,1964.4,"TC","T3","TC","%","0-20",1.29,0.12,6,5.21,1.06,6,1.39593764,"0-20"
"R56","Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China","22.2340-22.2738","113.3640-113.3915","field","mangrove","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",22.4,1964.4,"TC","T3","TC","%","20-40",1.25,0.06,6,3.78,0.85,6,1.10658046,"20-40"
"R56","Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China","22.2340-22.2738","113.3640-113.3915","field","mangrove","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",22.4,1964.4,"TC","T3","TC","%","40-60",1.27,0.1,6,1.73,0.13,6,0.30910451,"40-60"
"R56","Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China","22.2340-22.2738","113.3640-113.3915","field","mangrove","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",22.4,1964.4,"TC","T3","TC","%","60-80",1.28,0.1,6,1.45,0.24,6,0.12470348,"60-80"
"R56","Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China","22.2340-22.2738","113.3640-113.3915","field","mangrove","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",22.4,1964.4,"TC","T3","TC","%","80-100",1.24,0.09,6,1.31,0.2,6,0.05491576,"80-100"
