"System","Parameter","Value","SD","n","Units","Source","Tier"
"prosopis","C_inv",52.51,7.54,10,"Mg C ha-1","mbaabu2020restoration","C"
"prosopis","C_nat",55.78,7.88,10,"Mg C ha-1","mbaabu2020restoration","C"
"prosopis","AGB_inv",12.46,6.36,5,"Mg C ha-1","mbaabu2020restoration","A"
"prosopis","r_nat",0.03639,0.01,15,"yr-1","mbaabu2020restoration","C"
"prosopis","f_rel",0.9,0.08,NA,"dimensionless","heimpel2013environmental","D"
"prosopis","dSOC",0,1,NA,"Mg C ha-1","mbaabu2020restoration","D"
"prosopis","E_op",0.03,0.015,NA,"Mg C ha-1","heimpel2013environmental","D"
"cheatgrass","C_inv",2.84,0.216,20,"Mg C ha-1","nagy2021synthesis","A"
"cheatgrass","C_nat",3.6,0.672,10,"Mg C ha-1","nagy2021synthesis","A"
"cheatgrass","AGB_inv",0.398,0.038,338,"Mg C ha-1","nagy2021synthesis","A"
"cheatgrass","r_nat",0.02,0.01,NA,"yr-1","nagy2021synthesis","D"
"cheatgrass","f_rel",0.9,0.1,NA,"dimensionless","heimpel2013environmental","D"
"cheatgrass","dSOC",0,1,NA,"Mg C ha-1","maxwell2022effects","D"
"cheatgrass","E_op",0.001,5e-04,NA,"Mg C ha-1","heimpel2013environmental","D"
"phragmites","C_inv",59,34.8,30,"Mg C ha-1","gu2020invasive","C"
"phragmites","C_nat",55,27.5,30,"Mg C ha-1","kahara2026beyond","C"
"phragmites","AGB_inv",5,1.5,NA,"Mg C ha-1","gu2020invasive","D"
"phragmites","r_nat",0.03,0.012,NA,"yr-1","martin2017effects","D"
"phragmites","f_rel",0.9,0.1,NA,"dimensionless","martin2017effects","D"
"phragmites","dSOC",0,3,NA,"Mg C ha-1","martin2017effects","D"
"phragmites","E_op",0.005,0.002,NA,"Mg C ha-1","heimpel2013environmental","D"
"lantana","C_inv",142.4,8,30,"Mg C ha-1","lone2025invasive","A"
"lantana","C_nat",153.7,8,30,"Mg C ha-1","lone2025invasive","A"
"lantana","AGB_inv",1.87,0.13,30,"Mg C ha-1","lone2025invasive","A"
"lantana","r_nat",0.03,0.015,NA,"yr-1","ahmad2026turning","D"
"lantana","f_rel",0.9,0.1,NA,"dimensionless","heimpel2013environmental","D"
"lantana","dSOC",0,1,NA,"Mg C ha-1","lone2025invasive","D"
"lantana","E_op",0.02,0.01,NA,"Mg C ha-1","heimpel2013environmental","D"
"acacia","C_inv",58.48,6,NA,"Mg C ha-1","matos2023invasive","B"
"acacia","C_nat",150,30,NA,"Mg C ha-1","matos2023invasive","D"
"acacia","AGB_inv",53.34,6,NA,"Mg C ha-1","matos2023invasive","B"
"acacia","r_nat",0.02,0.008,NA,"yr-1","matos2023invasive","D"
"acacia","f_rel",0.85,0.1,NA,"dimensionless","heimpel2013environmental","D"
"acacia","dSOC",0,1.5,NA,"Mg C ha-1","matos2023invasive","D"
"acacia","E_op",0.05,0.02,NA,"Mg C ha-1","heimpel2013environmental","D"
"melaleuca","C_inv",130,30,NA,"Mg C ha-1","adame2020carbon","D"
"melaleuca","C_nat",90,25,NA,"Mg C ha-1","adame2020carbon","D"
"melaleuca","AGB_inv",60,20,NA,"Mg C ha-1","adame2020carbon","D"
"melaleuca","r_nat",0.03,0.015,NA,"yr-1","adame2020carbon","D"
"melaleuca","f_rel",0.85,0.1,NA,"dimensionless","heimpel2013environmental","D"
"melaleuca","dSOC",0,2,NA,"Mg C ha-1","adame2020carbon","D"
"melaleuca","E_op",0.05,0.02,NA,"Mg C ha-1","heimpel2013environmental","D"
"hyacinth","C_inv",8,3,NA,"Mg C ha-1","wei2017invasion","D"
"hyacinth","C_nat",6,2.5,NA,"Mg C ha-1","wei2017invasion","D"
"hyacinth","AGB_inv",4,1.5,NA,"Mg C ha-1","wei2017invasion","D"
"hyacinth","r_nat",0.1,0.04,NA,"yr-1","wei2017invasion","D"
"hyacinth","f_rel",0.95,0.05,NA,"dimensionless","heimpel2013environmental","D"
"hyacinth","dSOC",0,1,NA,"Mg C ha-1","wei2017invasion","D"
"hyacinth","E_op",0.01,0.005,NA,"Mg C ha-1","heimpel2013environmental","D"
