"Species","Observations","Share (%)","Studies"
"Spartina alterniflora",38,36.5,10
"Phyllostachys edulis",12,11.5,3
"Chromolaena odorata",10,9.6,2
"Ambrosia artemisiifolia",5,4.8,2
"Sonneratia apetala",5,4.8,1
"Robinia pseudoacacia",4,3.8,2
"Bidens pilosa",3,2.9,1
"Pueraria montana",3,2.9,1
"Reynoutria japonica",3,2.9,1
"Praxelis clematidea",2,1.9,1
"Acaciapolystachya A.Cunn_exBenth.",1,1,1
"Amorpha fruticosa",1,1,1
"Avebarbata",1,1,1
"Brizamaxima L.",1,1,1
"Bromus tectorum",1,1,1
"Ctenitismadagascariensis",1,1,1
"EucalyptusurophyllaS.",1,1,1
"Ipomoea cairica",1,1,1
"Leucaena leucocephala",1,1,1
"Loliummultiflorum",1,1,1
"Mikania micrantha",1,1,1
"n/a",1,1,1
"PennisetumpurpureumSchumach.",1,1,1
"Phragmites australis",1,1,1
"PinuscaribaeaMorelet",1,1,1
"Prosopis juliflora",1,1,1
"Sphagneticola trilobata",1,1,1
"Stellerachamaejasme L.",1,1,1
"Vulpiaspp",1,1,1
